KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001101001,T001101002,T001101003,T001101004,T001101005,T001101006,T001101007,T001101008,T001101009,T001101010,T001101011,T001101012,T001101013,T001101014,T001101015,T001101016,T001101017,T001101018,T001101019,T001101020,T001101021,T001101022,T001101023,T001101024,T001101025,T001101026,T001101027,T001101028,T001101029,T001101030,T001101031,T001101032,T001101033,T001101034,T001101035,T001101036,T001101037,T001101038,T001101039,T001101040,T001101041,T001101042,T001101043,T001101044,T001101045,T001101046,T001101047,T001101048,T001101049,T001101050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
584027582,2,584027694,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027683,2,584027684,,8,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027684,1,,584027683;584027774;584027782;584027783,3,1,2,0,0,0,17,9,8,7,5,2,17,9,8,17,9,8,10,4,6,7,2,5,3,1,2,1,1,0,0,0,0,1,1,1,2,4,0,0,0,0,6,3,3,0,7,0,1,1
584027691,2,584027694,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027693,0,,,13,7,6,0,0,0,13,7,6,5,4,1,13,7,6,13,7,6,8,3,5,2,0,2,2,0,2,1,0,1,0,0,0,5,5,1,2,0,2,0,0,0,4,2,2,0,3,0,0,1
584027694,1,,584027582;584027691;584027792;584027794,17,6,11,1,0,1,26,10,16,10,4,6,26,10,16,26,10,16,16,6,10,9,3,6,6,1,5,0,0,0,0,0,0,6,6,2,2,4,1,1,0,0,7,3,4,0,10,0,2,0
584027774,2,584027684,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027782,2,584027684,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027783,2,584027684,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027792,2,584027694,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027794,2,584027694,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027881,1,,584027882,11,6,5,0,0,0,15,7,8,7,4,3,15,7,8,15,7,8,8,3,5,5,1,4,3,0,3,1,0,1,0,0,0,4,4,1,2,2,1,0,0,0,5,2,3,0,6,0,1,0
584027882,2,584027881,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027891,2,584027892,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027892,1,,584027891;584027894;584027984,23,8,15,4,2,2,36,16,20,21,10,11,35,16,19,33,16,17,15,6,9,7,3,4,2,1,1,0,0,0,0,0,0,5,5,0,2,2,1,0,3,1,8,3,5,2,9,0,0,2
584027894,2,584027892,,6,4,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027984,2,584027892,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027991,2,584027994,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584027994,1,,584027991,7,3,4,0,0,0,13,6,7,2,0,2,13,6,7,13,6,7,11,6,5,6,2,4,4,2,2,0,0,0,0,0,0,4,4,2,2,1,1,0,0,0,4,2,2,0,6,0,2,2
584036714,0,,,10,6,4,0,0,0,10,6,4,6,4,2,10,6,4,10,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8,1,0,0,0,0,0,1,1,0,0,4,0,4,0
584037033,2,584037134,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037081,2,584037082,,12,7,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037082,1,,584037081,9,6,3,1,1,0,20,12,8,8,5,3,19,11,8,19,11,8,12,7,5,7,4,3,5,3,2,0,0,0,0,0,0,3,3,1,1,0,2,2,0,0,5,1,4,0,6,0,1,0
584037091,2,584037092,,6,2,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037092,1,,584037091;584037093,6,2,4,0,0,0,17,6,11,6,3,3,17,6,11,16,6,10,11,3,8,6,1,5,3,1,2,0,0,0,0,0,0,2,2,0,3,1,2,0,0,0,6,3,3,0,6,0,0,2
584037093,2,584037092,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037094,1,,584037183;584037194,20,10,10,1,1,0,31,17,14,17,11,6,31,17,14,31,17,14,14,6,8,7,2,5,4,1,3,0,0,0,0,0,0,8,8,3,1,2,4,1,0,0,8,3,5,0,8,0,2,1
584037132,2,584037134,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037133,2,584037134,,11,4,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037134,1,,584037033;584037132;584037133;584037232;584037234,10,4,6,6,1,5,32,16,16,16,8,8,30,15,15,30,15,15,16,8,8,7,4,3,2,0,2,0,0,0,0,0,0,4,4,3,3,1,2,1,1,1,9,6,3,1,9,0,2,1
584037151,2,584037161,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037152,2,584037161,,8,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037161,1,,584037151;584037152,9,4,5,1,1,0,18,9,9,8,4,4,17,8,9,16,7,9,10,5,5,4,2,2,3,2,1,0,0,0,0,0,0,2,2,0,2,0,1,1,1,0,5,1,4,0,5,0,0,0
584037163,1,,584037174,12,5,7,3,2,1,15,6,9,6,2,4,15,6,9,14,5,9,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,1,0,0,2,0,4,2,2,0,5,0,1,1
584037174,2,584037163,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037183,2,584037094,,4,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037194,2,584037094,,8,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037232,2,584037134,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037234,2,584037134,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037294,2,584037392,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037332,2,584037341,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037341,1,,584037332;584037343,4,2,2,0,0,0,25,12,13,13,7,6,24,12,12,24,12,12,12,5,7,6,3,3,1,0,1,0,0,0,0,0,0,2,2,2,3,1,1,2,0,0,7,4,3,0,7,0,1,2
584037343,2,584037341,,14,7,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037392,1,,584037294,24,14,10,0,0,0,28,16,12,20,13,7,28,16,12,28,16,12,8,3,5,7,2,5,3,1,2,0,0,0,0,0,0,7,7,0,3,1,2,1,1,0,8,4,4,0,6,0,0,1
584037441,2,584037444,,8,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037442,2,584037444,,8,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037444,1,,584037441;584037442,10,4,6,1,1,0,25,12,13,12,5,7,25,12,13,25,12,13,13,7,6,7,3,4,1,0,1,0,0,0,0,0,0,5,5,2,4,3,0,0,0,1,7,5,2,1,8,0,1,1
584037453,1,,584037454,19,10,9,0,0,0,22,11,11,11,6,5,22,11,11,22,11,11,11,5,6,9,4,5,2,1,1,0,0,0,0,0,0,7,7,1,3,2,1,1,0,0,7,5,2,0,7,0,0,2
584037454,2,584037453,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037493,2,584037594,,2,0,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037494,2,584037594,,9,4,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037551,0,,,9,4,5,0,0,0,9,4,5,2,1,1,9,4,5,9,4,5,7,3,4,5,3,2,1,1,0,0,0,0,0,0,0,5,5,2,2,1,0,0,0,0,3,3,0,0,5,0,2,2
584037552,1,,584037553,15,9,6,0,0,0,17,10,7,5,4,1,17,10,7,17,10,7,12,6,6,6,4,2,2,1,1,0,0,0,0,0,0,5,5,1,2,1,1,1,0,0,5,3,2,0,6,0,1,2
584037553,2,584037552,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037554,0,,,24,12,12,2,1,1,22,11,11,10,6,4,22,11,11,22,11,11,12,5,7,8,3,5,3,1,2,0,0,0,0,0,0,6,6,0,1,1,3,0,0,1,5,1,4,1,6,0,0,1
584037561,2,584037563,,18,6,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037562,2,584037563,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037563,1,,584037561;584037562;584037564,7,5,2,1,0,1,29,14,15,16,6,10,25,14,11,24,14,10,13,8,5,3,1,2,0,0,0,0,0,0,0,0,0,4,4,6,1,0,2,0,0,2,5,2,3,0,9,0,4,1
584037564,2,584037563,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037572,2,584037663,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037573,2,584037663,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037593,2,584037594,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037594,1,,584037493;584037494;584037593,17,8,9,1,1,0,32,13,19,17,7,10,31,13,18,31,13,18,15,6,9,9,3,6,2,0,2,0,0,0,0,0,0,5,5,0,2,1,3,1,0,1,8,3,5,0,8,0,0,0
584037633,2,584037731,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037634,2,584037731,,8,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037644,0,,,36,18,18,2,1,1,34,17,17,19,9,10,32,17,15,31,17,14,15,8,7,5,2,3,3,0,3,0,0,0,0,0,0,14,14,5,4,2,0,2,0,1,9,7,2,0,11,0,4,1
584037652,2,584037654,,2,0,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037653,0,,,29,17,12,1,1,0,28,16,12,14,8,6,28,16,12,27,15,12,14,8,6,5,3,2,3,3,0,0,0,0,0,0,0,11,11,2,6,1,0,0,2,0,8,4,4,0,10,0,2,2
584037654,1,,584037652;584037752,21,12,9,1,1,0,25,13,12,12,6,6,25,13,12,25,13,12,13,7,6,6,2,4,2,1,1,0,0,0,0,0,0,5,5,0,3,1,0,2,0,1,7,4,3,0,7,0,0,1
584037663,1,,584037572;584037573,58,30,28,9,4,5,53,28,25,27,15,12,51,27,24,51,27,24,26,13,13,12,7,5,5,3,2,1,0,1,0,0,0,18,18,5,5,3,1,3,2,1,15,9,6,2,15,0,3,3
584037664,0,,,37,18,19,2,1,1,35,17,18,14,7,7,35,17,18,35,17,18,21,10,11,14,5,9,6,2,4,0,0,0,0,0,0,13,13,3,4,1,2,3,0,0,10,5,5,0,12,0,2,4
584037673,1,,584037674,14,6,8,0,0,0,19,9,10,9,5,4,19,9,10,19,9,10,10,4,6,6,2,4,4,2,2,0,0,0,0,0,0,4,4,2,1,3,0,0,1,0,5,4,1,0,7,0,2,0
584037674,2,584037673,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037682,2,584037684,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037684,1,,584037682,19,10,9,0,0,0,23,12,11,13,7,6,23,12,11,23,12,11,10,5,5,6,3,3,1,0,1,0,0,0,0,0,0,7,7,2,4,1,1,0,1,0,7,6,1,0,6,0,1,3
584037691,2,584037692,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037692,1,,584037691,12,5,7,0,0,0,15,7,8,5,1,4,15,7,8,15,7,8,10,6,4,3,2,1,0,0,0,0,0,0,0,0,0,6,6,2,5,1,0,0,0,0,6,6,0,0,7,0,1,4
584037693,0,,,17,9,8,2,1,1,15,8,7,5,4,1,15,8,7,15,8,7,10,4,6,3,1,2,1,0,1,0,0,0,0,0,0,5,5,0,2,2,0,0,0,1,5,4,1,0,5,0,0,1
584037694,0,,,48,26,22,0,0,0,48,26,22,21,13,8,48,26,22,47,26,21,27,13,14,15,8,7,6,2,4,0,0,0,0,0,0,19,19,3,9,3,3,0,1,0,16,12,4,0,17,0,3,5
584037722,1,,584037724,13,8,5,2,2,0,17,10,7,9,7,2,16,9,7,16,9,7,8,3,5,3,1,2,2,1,1,0,0,0,1,0,1,4,4,4,0,1,1,0,0,1,3,1,2,0,5,0,2,0
584037724,2,584037722,,6,4,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037731,1,,584037633;584037634;584037732,17,8,9,2,1,1,31,14,17,10,5,5,30,13,17,30,13,17,21,9,12,12,4,8,4,2,2,1,0,1,0,0,0,7,7,6,5,3,2,0,0,0,10,7,3,0,15,0,6,4
584037732,2,584037731,,7,2,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037733,1,,584037734;584037831,44,22,22,4,2,2,54,28,26,29,16,13,53,28,25,52,27,25,25,12,13,17,7,10,4,2,2,0,0,0,0,0,0,12,12,0,5,5,4,1,2,0,17,7,10,0,16,0,0,3
584037734,2,584037733,,9,6,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037741,1,,584037743,50,27,23,0,0,0,53,29,24,32,16,16,49,26,23,48,26,22,21,13,8,13,7,6,3,2,1,0,0,0,1,0,1,22,22,8,10,2,2,1,1,0,15,8,7,0,16,1,1,5
584037742,0,,,10,5,5,0,0,0,10,5,5,3,2,1,10,5,5,10,5,5,7,3,4,3,1,2,2,0,2,0,0,0,0,0,0,5,5,1,3,1,0,0,0,0,4,3,1,0,5,0,1,2
584037743,2,584037741,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037752,2,584037654,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037761,0,,,27,11,16,1,0,1,26,11,15,11,5,6,26,11,15,26,11,15,15,6,9,8,3,5,2,0,2,0,0,0,0,0,0,9,9,2,2,3,0,1,0,1,7,3,4,1,9,0,2,2
584037762,1,,584037763;584037863,12,7,5,1,1,0,16,7,9,9,4,5,15,6,9,15,6,9,7,3,4,5,2,3,2,0,2,0,0,0,0,0,0,5,5,4,2,1,0,0,1,0,4,2,2,0,6,0,2,0
584037763,2,584037762,,3,0,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037784,0,,,18,9,9,2,1,1,16,8,8,5,2,3,15,7,8,15,7,8,11,6,5,4,2,2,4,2,2,0,0,0,0,0,0,4,4,0,0,2,1,0,0,1,4,1,3,0,4,0,0,0
584037791,0,,,16,6,10,1,0,1,15,6,9,6,2,4,15,6,9,15,6,9,9,4,5,5,2,3,3,1,2,0,0,0,0,0,0,5,5,0,2,2,0,0,1,0,5,3,2,0,5,0,0,2
584037793,0,,,11,6,5,0,0,0,11,6,5,7,4,3,11,6,5,11,6,5,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,4,4,1,0,2,1,0,0,0,3,2,1,0,3,0,1,0
584037822,1,,584037914;584037921;584037923,21,12,9,1,1,0,28,16,12,14,9,5,28,16,12,28,16,12,14,7,7,11,5,6,0,0,0,0,0,0,0,0,0,8,8,3,3,3,0,1,0,1,8,5,3,1,8,0,2,1
584037831,2,584037733,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037863,2,584037762,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037874,2,584037972,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037882,1,,584037883;584037884;584037894,10,5,5,3,2,1,21,10,11,8,3,5,21,10,11,21,10,11,13,7,6,5,2,3,3,2,1,0,0,0,0,0,0,4,4,2,4,1,1,0,0,1,6,3,3,1,9,0,2,2
584037883,2,584037882,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037884,2,584037882,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037894,2,584037882,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037914,2,584037822,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037921,2,584037822,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037923,2,584037822,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
584037961,2,584037962,,11,7,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
